supplementary_table_id	title	clean_attachment_basename	rows	columns	source_basename	interpretation_boundary
S1;S12	Cohort inventory, analysis units, and independence families / Integrated evidence summary, axes, and candidate network	S01-S12__escc_multiomics_module_summaries.tsv	6	10	escc_multiomics_module_summaries.tsv	Cohort inventories define analysis units but are not biological validation. Evidence integration ranks hypotheses and does not convert association into mechanism.
S1;S2	Cohort inventory, analysis units, and independence families / TCGA-ESCC multi-assay sample map and analysis sets	S01-S02__tcga_escc_multiassay_analysis_sets.tsv	384	5	tcga_escc_multiassay_analysis_sets.tsv	Cohort inventories define analysis units but are not biological validation. All patient subsets belong to one overlapping TCGA discovery family.
S1;S8	Cohort inventory, analysis units, and independence families / Locked ECMS projection, calibration, and factor associations	S01-S08__tcga_escc_ecms_patient_probabilities.tsv	94	33	tcga_escc_ecms_patient_probabilities.tsv	Cohort inventories define analysis units but are not biological validation. ECMS analyses share the TCGA RNA representation and are contextual calibration only.
S2	TCGA-ESCC multi-assay sample map and analysis sets	S02__tcga_escc_multiassay_sample_map.tsv	653	19	tcga_escc_multiassay_sample_map.tsv	All patient subsets belong to one overlapping TCGA discovery family.
S2	TCGA-ESCC multi-assay sample map and analysis sets	S02__tcga_escc_multiassay_qc.tsv	863	6	tcga_escc_multiassay_qc.tsv	All patient subsets belong to one overlapping TCGA discovery family.
S3	TCGA-ESCC driver candidate screen and patient-level event matrix	S03__tcga_escc_driver_candidate_screen.tsv	7747	59	tcga_escc_driver_candidate_screen.tsv	Candidate priority is hypothesis-generating and does not establish causality.
S3	TCGA-ESCC driver candidate screen and patient-level event matrix	S03__tcga_escc_strong_driver_patient_events.tsv	1128	15	tcga_escc_strong_driver_patient_events.tsv	Candidate priority is hypothesis-generating and does not establish causality.
S3	TCGA-ESCC driver candidate screen and patient-level event matrix	S03__tcga_escc_driver_core_qc.tsv	10	3	tcga_escc_driver_core_qc.tsv	Candidate priority is hypothesis-generating and does not establish causality.
S4	Somatic mutation and copy-number association details	S04__tcga_escc_cnv_expression_dosage.tsv	60623	17	tcga_escc_cnv_expression_dosage.tsv	Correlated event encodings from the same TCGA patients are not independent validation.
S4	Somatic mutation and copy-number association details	S04__tcga_escc_cnv_gene_summary.tsv	60623	16	tcga_escc_cnv_gene_summary.tsv	Correlated event encodings from the same TCGA patients are not independent validation.
S4	Somatic mutation and copy-number association details	S04__tcga_escc_mutation_gene_summary.tsv	6134	19	tcga_escc_mutation_gene_summary.tsv	Correlated event encodings from the same TCGA patients are not independent validation.
S4	Somatic mutation and copy-number association details	S04__tcga_escc_mutation_cluster_summary.tsv	10	21	tcga_escc_mutation_cluster_summary.tsv	Correlated event encodings from the same TCGA patients are not independent validation.
S4	Somatic mutation and copy-number association details	S04__tcga_escc_mutation_pairwise_interactions.tsv	300	12	tcga_escc_mutation_pairwise_interactions.tsv	Correlated event encodings from the same TCGA patients are not independent validation.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_variance_explained.tsv	40	7	tcga_escc_mofa_variance_explained.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_factor_scores.tsv	94	9	tcga_escc_mofa_factor_scores.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_top_weights.tsv	800	5	tcga_escc_mofa_top_weights.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_pathway_associations.tsv	112	7	tcga_escc_mofa_pathway_associations.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_level_factor_qc.tsv	40	6	tcga_escc_mofa_level_factor_qc.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_mofa_clinical_associations.tsv	24	9	tcga_escc_mofa_clinical_associations.tsv	Latent-state annotations are association-based and do not establish mechanism.
S5	MOFA factor, pathway, and clinical annotation results	S05__tcga_escc_progeny_pathway_scores.tsv	94	15	tcga_escc_progeny_pathway_scores.tsv	Latent-state annotations are association-based and do not establish mechanism.
S6	Patient-state heterogeneity clustering results	S06__tcga_escc_heterogeneity_cluster_evaluation.tsv	5	14	tcga_escc_heterogeneity_cluster_evaluation.tsv	Cluster solutions are descriptive and are not independently validated subtypes.
S6	Patient-state heterogeneity clustering results	S06__tcga_escc_heterogeneity_cluster_pathways.tsv	14	7	tcga_escc_heterogeneity_cluster_pathways.tsv	Cluster solutions are descriptive and are not independently validated subtypes.
S6	Patient-state heterogeneity clustering results	S06__tcga_escc_heterogeneity_patient_assignments.tsv	94	18	tcga_escc_heterogeneity_patient_assignments.tsv	Cluster solutions are descriptive and are not independently validated subtypes.
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_associations.tsv	1056	30	tcga_escc_driver_state_associations.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_network_edges.tsv	79	20	tcga_escc_driver_state_network_edges.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
S7	Representation-overlap-audited driver-state association analysis	S07__tcga_escc_driver_state_representation_overlap_factor_alignment.tsv	192	42	tcga_escc_driver_state_leakage_factor_alignment.tsv	Omission sensitivity reduces representation overlap but is not independent replication.
