supplementary_table_id	title	analysis_unit	content_description	supported_claim	interpretation_boundary	attachment_basenames
S1	Cohort inventory, analysis units, and independence families	Cohort/resource and patient-level analysis sets	Defines cohort composition, analysis roles, sample subsets, and non-independence boundaries.	Defines cohort composition and analysis-unit boundaries for interpreting overlap and evidence independence.	The cohort inventory alone is not biological validation; overlapping TCGA subsets and GSE53625 subseries are not independent.	S01-S12__escc_multiomics_module_summaries.tsv;S01-S02__tcga_escc_multiassay_analysis_sets.tsv;S01-S08__tcga_escc_ecms_patient_probabilities.tsv
S2	TCGA-ESCC multi-assay sample map and analysis sets	TCGA-ESCC patient	Documents assay availability and locked patient subsets.	Defines the locked TCGA patient sets used by each analysis module.	All subsets belong to one overlapping TCGA discovery family.	S02__tcga_escc_multiassay_sample_map.tsv;S01-S02__tcga_escc_multiassay_analysis_sets.tsv;S02__tcga_escc_multiassay_qc.tsv
S3	TCGA-ESCC driver candidate screen and patient-level event matrix	Gene/event and TCGA-ESCC patient	Reports the driver screen, patient event calls, and quality controls.	Supports prioritization of recurrent driver candidates for downstream state analyses.	Driver priority is hypothesis-generating, not causal or therapeutically actionable.	S03__tcga_escc_driver_candidate_screen.tsv;S03__tcga_escc_strong_driver_patient_events.tsv;S03__tcga_escc_driver_core_qc.tsv
S4	Somatic mutation and copy-number association details	Gene, event, patient, and event pair	Reports mutation recurrence, copy-number dosage, clusters, and event-pair summaries.	Supports descriptive mutation, copy-number, and dosage relationships within TCGA-ESCC.	Correlated encodings from the same TCGA patients are not separate validation families.	S04__tcga_escc_cnv_expression_dosage.tsv;S04__tcga_escc_cnv_gene_summary.tsv;S04__tcga_escc_mutation_gene_summary.tsv;S04__tcga_escc_mutation_cluster_summary.tsv;S04__tcga_escc_mutation_pairwise_interactions.tsv
S5	MOFA factor, pathway, and clinical annotation results	Patient, factor, feature, pathway, and clinical variable	Reports factor variance, scores, weights, pathway annotation, quality controls, and clinical associations.	Supports latent-state annotation and pathway and clinical characterization.	Latent factors and annotations do not by themselves prove mechanism.	S05__tcga_escc_mofa_variance_explained.tsv;S05__tcga_escc_mofa_factor_scores.tsv;S05__tcga_escc_mofa_top_weights.tsv;S05__tcga_escc_mofa_pathway_associations.tsv;S05__tcga_escc_mofa_level_factor_qc.tsv;S05__tcga_escc_mofa_clinical_associations.tsv;S05__tcga_escc_progeny_pathway_scores.tsv
S6	Patient-state heterogeneity clustering results	Patient and candidate cluster solution	Reports cluster evaluation, pathway contrasts, and patient assignments.	Supports descriptive patient-state heterogeneity within TCGA-ESCC.	Cluster labels are descriptive summaries from the TCGA discovery cohort, not independently validated subtypes.	S06__tcga_escc_heterogeneity_cluster_evaluation.tsv;S06__tcga_escc_heterogeneity_cluster_pathways.tsv;S06__tcga_escc_heterogeneity_patient_assignments.tsv
S7	Representation-overlap-audited driver-state association analysis	TCGA-ESCC gene-event by latent-state association	Reports original associations, network edges, factor alignment, stability, and retained associations from the pre-specified event-view-deletion analysis.	Supports within-TCGA event-state associations that persist in pre-specified mutation/CNV omission sensitivity analyses.	Event-view deletion reduces representation circularity within TCGA but is not independent validation or causal proof.	S07__tcga_escc_driver_state_associations.tsv;S07__tcga_escc_driver_state_network_edges.tsv;S07__tcga_escc_driver_state_representation_overlap_factor_alignment.tsv;S07__tcga_escc_driver_state_representation_overlap_associations.tsv;S07__tcga_escc_driver_state_representation_overlap_edge_stability.tsv;S07__tcga_escc_driver_state_representation_overlap_candidate_summary.tsv
S8	Locked ECMS projection, calibration, and factor associations	Patient, ECMS probability, factor, and pathway	Documents projection, calibration, quality checks, and continuous state associations.	Supports ECMS-contextualized continuous-state associations in the locked TCGA anchor.	The 78-patient anchor is a TCGA subset; the 16 projected extensions are excluded from primary association inference.	S01-S08__tcga_escc_ecms_patient_probabilities.tsv;S08__tcga_escc_ecms_projection_calibration.tsv;S08__tcga_escc_ecms_factor_associations.tsv;S08__tcga_escc_ecms_adjusted_factor_progeny_associations.tsv
S9	Cao et al. paired cross-layer calibration	Pre-specified candidate within paired tumor and non-tumor specimens	Reports candidate-restricted WGBS, RNA, protein, and cross-layer calibration.	Supports candidate-restricted same-patient cross-layer calibration.	Coverage is candidate- and layer-dependent; missing protein data are not negative evidence.	S09__cao2020_wgbs_candidate_pair_effects.tsv;S09__cao2020_wgbs_candidate_region_summary.tsv;S09__cao2020_rna_candidate_pair_effects.tsv;S09__cao2020_rna_candidate_summary.tsv;S09__cao2020_proteomics_candidate_pair_effects.tsv;S09__cao2020_proteomics_candidate_summary.tsv;S09__cao2020_cross_layer_patient_effects.tsv;S09__cao2020_cross_layer_candidate_summary.tsv
S10	PR001876 targeted metabolomics calibration	Metabolite feature within analysis/platform	Reports inventory, quality control, differential results, candidates, and sensitivities.	Supports orthogonal metabolic-module calibration under the stated design limitations.	The design is unpaired; overlap is unresolved and absolute concentration claims are not allowed.	S10__pr001876_targeted_ms_analysis_inventory.tsv;S10__pr001876_targeted_ms_sample_qc.tsv;S10__pr001876_targeted_ms_feature_qc.tsv;S10__pr001876_targeted_ms_differential.tsv;S10__pr001876_targeted_ms_candidate_metabolites.tsv;S10__pr001876_targeted_ms_run_order_sensitivity.tsv;S10__pr001876_targeted_ms_scale_sensitivity.tsv;S10__pr001876_targeted_ms_paired_sensitivity.tsv
