logical_name	dataset_key	accession	version	data_level	central_path	project_purpose	inclusion_exclusion	limitations	local_link	last_verified
tcga_escc_bulk_expression	UCSC_XENA_TCGA-ESCA_gdc_hub_release_20241011	TCGA-ESCA	gdc_hub_release_20241011	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/UCSC_Xena/TCGA-ESCA/gdc_hub_release_20241011	TCGA-ESCC 样本映射、处理后表达、多组学患者交集和临床校准	仅纳入 GDC 诊断确认的 ESCC 原发肿瘤；其他组织学和非原发样本排除	TCGA-ESCA 混合 EAC；Xena 表为同样本多记录平均后的 log2(count+1)，不是可直接输入 DESeq2 的原始整数计数；其他组学待登记		2026-07-11
tcga_escc_clinical	GDC_TCGA_ESCA_clinical_gdc_dr45_retrieved_20260711	TCGA-ESCA-clinical	gdc_dr45_retrieved_20260711	10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GDC/TCGA-ESCA-clinical/gdc_dr45_retrieved_20260711	ESCC 主疾病病理过滤、样本白名单和临床协变量	在同一 diagnosis 对象内要求 diagnosis_is_primary_disease=true、classification_of_tumor=Primary 且 morphology 为 8070/3、8071/3 或 8083/3	DR45 公开元数据快照；96 个临床 ESCC，95 个有 Xena 原发肿瘤表达，94 个有可用 Xena OS，31 个事件		2026-07-11
bulk_discovery_gse20347	GEO_GSE20347_retrieved_20260625	GSE20347	retrieved_20260625	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE20347/retrieved_20260625	配对/邻近正常 bulk 表达发现与方向复核	按正式样本注释保留 ESCC 肿瘤与正常组织	微阵列平台和小样本限制		2026-07-11
bulk_discovery_gse38129	GEO_GSE38129_retrieved_20260625	GSE38129	retrieved_20260625	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE38129/retrieved_20260625	独立 bulk 肿瘤-正常发现与平台校准	仅纳入病理和组织身份明确的样本	微阵列平台；样本设计需在脚本中冻结		2026-07-11
bulk_external_gse75241	GEO_GSE75241_retrieved_20260625	GSE75241	retrieved_20260625	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE75241/retrieved_20260625	15 对肿瘤-正常外部方向验证	使用患者配对设计	样本量小，强调效应量和区间		2026-07-11
bulk_clinical_gse53622	GEO_GSE53622_retrieved_20260628	GSE53622	retrieved_20260628	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE53622/retrieved_20260628	表达与临床/生存校准	作为 GSE53625 家族中的独立集使用，不与超级系列重复计数	与 GSE53624 同属一个研究家族，不能夸大为完全独立来源		2026-07-11
bulk_clinical_gse53624	GEO_GSE53624_retrieved_20260628	GSE53624	retrieved_20260628	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE53624/retrieved_20260628	表达与临床/生存校准	作为 GSE53625 家族中的原始集使用，不与超级系列重复计数	与 GSE53622 同属一个研究家族，不能夸大为完全独立来源		2026-07-11
bulk_response_gse45670	GEO_GSE45670_retrieved_20260625	GSE45670	retrieved_20260625	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE45670/retrieved_20260625	冻结 Factor1/Factor3 RNA 代理与病理完全缓解状态的探索性关联	仅纳入官方 ECMS 仓库可唯一映射的 28 个 ESCC 肿瘤 GSM；不使用 10 个非肿瘤样本	小样本、单队列且响应字段原始拼写不规范；只用于探索性关联，不训练或宣称治疗预测器		2026-07-16
sc_cell_source_gse160269	GEO_GSE160269_retrieved_20260427	GSE160269	retrieved_20260427	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE160269/retrieved_20260427	候选网络的 broad cell-type 来源与患者级 pseudobulk	只在作者拆分的细胞类型内分析；患者为推断单位	不是可直接重新全队列聚类的原始对象；仅 4 个癌旁组织		2026-07-11
sc_paired_gse196756	GEO_GSE196756_retrieved_20260710	GSE196756	retrieved_20260710	00_source	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE196756/retrieved_20260710	配对肿瘤/正常单细胞方向复核	保留患者配对并单独评估低质量样本 2T	仅 3 位患者；不得以细胞数替代患者数		2026-07-11
sc_progression_gse199654	GEO_GSE199654_retrieved_20260710_public_epithelial	GSE199654	retrieved_20260710_public_epithelial	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE199654/retrieved_20260710_public_epithelial	非肿瘤-异型增生-肿瘤上皮进展轴	只分析公开去标识上皮细胞，并保留患者/组织层级	仅上皮细胞；患者内组织三联不完整；raw FASTQ 受控		2026-07-11
sc_primary_node_gse203067	GEO_GSE203067_retrieved_20260626	GSE203067	retrieved_20260626	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE203067/retrieved_20260626	原发、非肿瘤与淋巴结转移的细胞状态定位	使用患者级和组织级层次模型	4 位患者；合并矩阵不能丢失条形码到样本映射		2026-07-11
sc_context_gse221561	GEO_GSE221561_retrieved_20260710_full_raw	GSE221561	retrieved_20260710_full_raw	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE221561/retrieved_20260710_full_raw	患者级 cell-type pseudobulk 与治疗语境复核	使用 full_raw 版本；不再把 metadata-only 快照算独立队列	治疗异质；无 response label		2026-07-11
sc_metastasis_gse309392	GEO_GSE309392_retrieved_20260710_full	GSE309392	retrieved_20260710_full	00_source;10_metadata	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE309392/retrieved_20260710_full	正常/癌旁、原发与肺转移的异质性定位	使用 full 版本；不把 P6-P11 子集再算独立验证	原发与肺转移非配对 3 对 3；器官背景混杂；无作者细胞标签		2026-07-11
cao2020_wgbs_author_processed	GEO_GSE149608_retrieved_20260711_author_processed	GSE149608	retrieved_20260711_author_processed	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE149608/retrieved_20260711_author_processed	同患者甲基化—转录跨层锚点；严格配对分析使用 9 对	严格患者级配对分析仅纳入 9 对；T15 只进入非配对敏感性分析	N15 原始测序约 1.58x 且无作者处理 BED；T15 只可用于非配对敏感性分析；hg19/MOABS 处理值		2026-07-11
cao2020_rna_tpm_author_processed	GEO_GSE149609_retrieved_20260711_author_processed	GSE149609	retrieved_20260711_author_processed	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE149609/retrieved_20260711_author_processed	10 对患者 RNA 配对层及细胞系机制校准	患者组织 10 对进入配对层；15 个细胞系样本单列为机制校准	TPM 不是原始整数计数，不能直接输入 DESeq2；15 个细胞系文件不得计入患者多组学交集		2026-07-11
cao2020_ezh2_chipseq_cell_line	GEO_GSE151838_retrieved_20260711_author_processed	GSE151838	retrieved_20260711_author_processed	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GEO/GSE151838/retrieved_20260711_author_processed	EZH2 结合位点的细胞系机制校准	仅作 Het-1A/EC109 细胞系机制校准，不进入患者多组学交集	无患者组织，不能充当患者级表观遗传证据或独立队列		2026-07-11
escc_metabolomics_pr001876	METABOLOMICS_WORKBENCH_PR001876_retrieved_20260711	PR001876;ST003013;ST003014;ST003015;ST003025;ST003027	retrieved_20260711	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/Metabolomics_Workbench/PR001876/retrieved_20260711	代谢通路、多体液方向和早期组织靶向代谢验证	靶向 MS 主分析按非配对组间设计；编号推定配对仅作敏感性分析；正负模式不重复计为独立队列	无可确认 subject ID；NMR 尚需从原始数据重处理；与主分子队列无同患者映射		2026-07-11
cao2020_proteomics_supplement_data6	NATURE_COMMUNICATIONS_10.1038-s41467-020-17227-z_supplement_data6_snapshot_20231204	10.1038/s41467-020-17227-z;Supplementary Data 6;PXD019834	supplement_data6_snapshot_20231204	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/Nature_Communications/doi_10.1038_s41467-020-17227-z/supplement_data6_snapshot_20231204	Cao 2020 同患者甲基化-RNA-蛋白候选轴的蛋白方向校准	纳入 P1/P2/P6/P7/P8/P9/P11/P12/P13/P15；P7 三批次按技术重复处理；排除 Z1/Z2/Z3 和 73 个结构异常来源行	作者比值表而非原始强度；需统一蛋白标识和批次缺失；73 个错列或续行已排除；PXD 原始档案尚未纳入		2026-07-11
escc_tissue_microbiome_prjna766558	NCBI_SRA_PRJNA766558_retrieved_20260711	PRJNA766558;SRP339053;SRR16095367-SRR16095408	retrieved_20260711	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/NCBI_SRA/PRJNA766558/retrieved_20260711	21 对 ESCC 肿瘤/癌旁 16S 生态差异及宿主通路模块校准	保留患者配对；84 个 L2 FASTQ 已冻结；不再切引物、不预截断，主流程用 expected-error 过滤并保留单端敏感性	FFPE/低生物量；无公开阴性对照 run；仅 21 对公开 16S；与宿主主队列无同患者映射		2026-07-11
escc_tissue_microbiome_hra000651_controlled	GSA_HUMAN_HRA000651_retrieved_20260711	HRA000651	retrieved_20260711	10_metadata	${RESEARCH_DATA_ROOT}/datasets/controlled/GSA-Human/HRA000651/retrieved_20260711	受控微生物队列元数据规划与未来独立方向校准	当前仅元数据；DAC 批准和原始完整性校验前不进分析	原始 FASTQ 受控未取得；非配对设计；发现/验证到样本映射未解析；无独立 blank run		2026-07-11
tcga_escc_gdc_open_multiomics_dr45	GDC_TCGA_ESCA_open_multiomics_gdc_dr45_retrieved_20260711	TCGA-ESCA	gdc_dr45_retrieved_20260711	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GDC/TCGA-ESCA/gdc_dr45_retrieved_20260711	ESCC 患者级驱动事件—转录/miRNA/甲基化—蛋白跨层轴及异质性	仅 96 例 DR45 ESCC 白名单的 Primary Tumor 开放 released 文件；分层最大样本与 95/94/76 交集并行	miRNA 一例双 aliquot；MAF/CNV 配对正常是调用输入而非表达正常；ASCAT2 gene/segment 不独立计数；RPPA 仅 78 例		2026-07-11
reference_gencode_grch37_v19	GENCODE_human_release_19	release_19	release_19	00_source	${RESEARCH_DATA_ROOT}/references/Homo_sapiens/GRCh37/GENCODE/release_19	Cao 2020 hg19 WGBS 的 promoter/gene-body 统一注释	仅用于 GRCh37/hg19；候选符号以 org.Hs.eg.db 别名表解析后唯一映射	GENCODE v19/Ensembl 74；不得与 TCGA GRCh38 坐标直接混用		2026-07-11
reference_silva_1382_dada2	SILVA_SSU_v138.2_DADA2_Zenodo14169026	10.5281/zenodo.14169026	v138.2_dada2_v1	00_source;10_metadata	${RESEARCH_DATA_ROOT}/references/microbial_community/SSU/SILVA/v138.2_dada2_zenodo14169026	PRJNA766558 ASV 的细菌/古菌 domain 至 genus 分类及精确 species 匹配	DADA2 assignTaxonomy 使用 genus trainset，assignSpecies 使用 exact-match species fasta	不适用于真核分类；species 结果受 V3–V4 分辨率和精确参考匹配限制		2026-07-11
ecms_classifier_cityuhk_locked	GITHUB_CITYUHK_COMPUTATIONAL_BIOLOGY_ESCC_CMS_8a49db65f86f2c1e2a50d9bc4cb742ccc868e4c6	CityUHK-CompBio/ESCC_CMS	commit_8a49db65f86f2c1e2a50d9bc4cb742ccc868e4c6	00_source;10_metadata;20_reusable	${RESEARCH_DATA_ROOT}/datasets/public/GitHub/CityUHK-CompBio_ESCC_CMS/commit_8a49db65f86f2c1e2a50d9bc4cb742ccc868e4c6	把官方 314 基因 randomForest ECMS1–4 分类器作为 TCGA 连续因子的外部坐标和共识分型校准	固定 commit、模型 SHA256 和作者内置 TCGA 78 例锚点；官方锚点优先，额外 GDC 患者只在四项重叠校准全通过后进入主投影	训练集中心/尺度参数未公开，必须按官方 cohort-wise scaling 批量投影；不是单样本临床分类器；仓库无 LICENSE；无官方概率或 margin 拒绝阈值		2026-07-12
